CID,CanonicalSMILES,XLogP,ExactMass,TPSA,HBondDonorCount,HBondAcceptorCount
73803313,CC1CC2(C(C(C(=O)O2)C)(OC1C(C)C(=O)[O-])OC)OC,1.6,301.128728,94.1,0,7
116302538,CN(CCCC=C)C(=O)C=C,1.8,153.115364102,20.3,0,1
80859840,CCNC1=NC(=CC(=N1)OCCO)C,0.9,197.11642673,67.3,2,5
82623150,CN1CCCNCC1C2=CC(=CC(=C2)OC)OC,1.4,250.168127949,33.7,1,4
103987146,CCNC(CC1CCOC1)CC2=CC=CC=C2,2.8,233.177964357,21.3,1,2
26520156,CC1=C(C(=CC=C1)C(=O)NC2=CC=CC=C2N3CCCCC3)[N+](=O)[O-],3.9,339.15829154,78.2,1,4
526103,CCCCCCC(CCCC)CCCC=C,8.1,224.250401021,0.0,0,0
67276580,C1CCOC1.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,,264.08451746,141.0,4,8
124977728,C1CNCC12CC3=C(N=C(N=C3O2)N)N,-0.6,207.11201006,99.1,3,6
81356983,CC1=CC=C(C=C1)C(C)NCCOC2=CC=CC=C2,3.7,255.162314293,21.3,1,2
61097619,CC1=C(N=NC(=C1CN)N2CCC3=CC=CC=C32)C,1.5,254.153146591,55.0,1,4
91679068,CCOC1=CC(=C(C=C1)NC(=O)C2=CC=C(C=C2)C(C)C)N,3.5,298.168127949,64.4,2,3
59713482,C[NH+]([CH2-])CC(C1=CC(=CC=C1)O)O,0.2,181.110278721,44.9,3,3
93384874,CC(CNCC(C1=CC2=C(C=C1)OCCO2)O)O,0.1,253.13140809,71.0,3,5
125034745,CC1(C2CCC1(C(C2(CC=C)O)(CCCCCCC=C)O)C)C,5.5,320.271530387,40.5,2,2
60033177,CC1=NC=C(C=N1)C(=O)C(C)C,1.3,164.094963011,42.9,0,3
64188767,COCCOCCN1CCC(CC1)N2CCCC2C(=O)O,-1.6,300.20490738,62.2,1,6
93063441,CCCCC(CC)C(C1=CC=C(C=C1)C)NC,4.8,233.214349865,12.0,1,1
77528772,CC(=C)C1CCC2C1(CC(C3C2CC=C4C3(CCC(=C4)OC)C)O)C,5.5,342.255880323,29.5,1,2
23043009,CCCCC(CNC1=NC(=C(C(=N1)C)O)C)C2=CC=CC=C2,4.7,299.199762429,58.0,2,4
79395288,CC(C)C(=O)CN(C)CCC1=CC=CC=C1,3.0,219.162314293,20.3,0,2
84168462,CN1CCNCC1CN(C)C2=CC=CC=C2OC,1.5,249.184112366,27.7,1,4
79927613,CC1(CC(C(O1)(C)C)(C2=NC=CN=C2)O)C,0.0,222.136827821,55.2,1,4
58761928,CN(C)CCCOC1=CC=C(C=C1)NC=O,1.5,222.136827821,41.6,1,3
118055233,C1CC2(C1)CN3CCNCC4=C3C2=CC=C4,2.1,214.146998583,15.3,1,2
117583802,CNCC1=NC=CC(=N1)NC2=CC3=CC=CC=C3C=C2,2.7,264.137496527,49.8,2,4
81992080,CC1=CC(=NC(=N1)C(C)C)NC(CC(=O)O)C2CC2,2.9,263.16337692,75.1,2,5
102175633,CC=C1CC=C[CH+]1,2.0,93.070425287,0.0,0,0
110236033,C1CN(CC1C2=NN=C(O2)C3=NC=CN=C3)C(=O)C4C5=CC=CC=C5CCO4,0.6,377.14878949,94.2,0,7
130126506,CC1=CC=CC=C1C=CC(=CCO)C,3.3,188.12011513,20.2,1,1
123369877,CC12CC3CCC4CC(CCC4C3CC1CC(=CC5=CC=CC=C5)C2=O)O,5.5,364.240230259,37.3,1,2
4757784,CCN(CC)CCN1C(C(C(=O)C1=O)C(=O)C2=C(C=C(C=C2)OC)C)C3=CC(=C(C=C3)O)OC,3.2,468.22603674,96.4,1,7
113046047,COC1=CC(=CC(=C1)C(=O)NC2=NN=C(C=C2)N3CCC4=CC=CC=C43)OC,3.0,376.15354051,76.6,1,6
42786626,CC1=NC2=C(CN(CC2)C(=O)C3=CC=C(C=C3)C(C)(C)C)C(=N1)N4CCCC4,4.2,378.24196159,49.3,0,4
15205693,CC1=CC(=CC(C1)C(C)(C)C)C(C)(C)C,4.8,206.203450829,0.0,0,0
11199262,CC12CC(CC(=CC=C3CC(CCC3=C)O)C1CCC2(C(=O)CO)O)O,1.1,362.20932405,98.0,4,5
54159948,CCCC1=C(C=C(C=C1OC(C)C)OC(C)C)C=CC(=O)C2=CC=C(C=C2)O,6.2,382.21440943,55.8,1,4
5070101,CC1=CC2=C(C=C1)OC3=C(C2=O)C(N(C3=O)CC4=CC=CC=C4)C5=CC(=C(C=C5)O)OC,4.0,427.14197277,76.1,1,5
54958142,CCOC1=CC=CC(=C1OCCC(C)(C)C)CO,3.4,252.17254462,38.7,1,3
69505602,CCC1=C(C=C(C=C1)C(C)CO)C2=CC=C(C=C2)C(=O)CC,4.4,296.177630004,37.3,1,2
124385138,COC1=CC=C(C=C1)OCCCOC2CCCCO2,2.9,266.15180918,36.9,0,4
81475256,CCCC(C)(CN1CC(C(C1)N(C)C)C)C(=O)O,0.0,256.21507814,43.8,1,4
133397978,CC(C1CCCN(C1)C2=NC=CC=N2)O,1.2,207.137162174,49.3,1,4
120230345,CCOC1=C(C=C2CN(CCC2=C1)C(=O)CC3=CC=CC=C3C(=O)O)OCC,3.0,383.1732729,76.1,1,5
57771696,CN1CCCC(C1)N(C)C2=NC3=C(O2)C=CC(=C3)N,2.1,260.16371127,58.5,1,5
137641810,CC1=NC=CC(=N1)N(CC2=CC=C(C=C2)C=CCN3CCC(CC3)N4CCCCC4)CC(C)(C)C,6.2,475.36749646,35.5,0,5
134572768,CC1CN(OC(C(N1C(C)C)C)C)C(C)C,3.0,228.220163521,15.7,0,3
96971180,CC(C)C1C2=C(C=CC(=C2CCN1)O)O,2.0,207.125928785,52.5,3,3
116659435,CCCC1=CC=C(C=C1)C(=O)CC=C,3.7,188.12011513,17.1,0,1
97713380,C1CCN2C(C1)C(CC2=O)C3=CC=CC=C3CN,0.9,244.157563266,46.3,1,2
